id,title,vote_average,vote_count,popularity,year,month,day
23514,The Rum Diary,StandardScaler(),StandardScaler(),StandardScaler(),2011,10,13
10061,Escape from L.A.,StandardScaler(),StandardScaler(),StandardScaler(),1996,8,9
346709,Line of Duty,StandardScaler(),StandardScaler(),StandardScaler(),2019,12,25
446131,Madame,StandardScaler(),StandardScaler(),StandardScaler(),2017,8,17
216015,Fifty Shades of Grey,StandardScaler(),StandardScaler(),StandardScaler(),2015,2,11
44833,Battleship,StandardScaler(),StandardScaler(),StandardScaler(),2012,4,11
14138,Black Water,StandardScaler(),StandardScaler(),StandardScaler(),2008,2,22
431185,He's Out There,StandardScaler(),StandardScaler(),StandardScaler(),2018,10,25
340022,Gringo,StandardScaler(),StandardScaler(),StandardScaler(),2018,3,8
283445,Sinister 2,StandardScaler(),StandardScaler(),StandardScaler(),2015,8,19
20414,"Grande, grosso e... Verdone",StandardScaler(),StandardScaler(),StandardScaler(),2008,3,7
649087,Red Dot,StandardScaler(),StandardScaler(),StandardScaler(),2021,2,11
411873,The Little Hours,StandardScaler(),StandardScaler(),StandardScaler(),2017,6,30
175574,Free Birds,StandardScaler(),StandardScaler(),StandardScaler(),2013,10,30
147441,Exodus: Gods and Kings,StandardScaler(),StandardScaler(),StandardScaler(),2014,12,3
27414,"Silent Night, Deadly Night",StandardScaler(),StandardScaler(),StandardScaler(),1984,11,9
235271,Addicted,StandardScaler(),StandardScaler(),StandardScaler(),2014,10,10
203665,Paris or Perish,StandardScaler(),StandardScaler(),StandardScaler(),2013,7,15
48838,London Boulevard,StandardScaler(),StandardScaler(),StandardScaler(),2010,11,10
12139,Dennis the Menace,StandardScaler(),StandardScaler(),StandardScaler(),1993,6,9
7978,The Wolfman,StandardScaler(),StandardScaler(),StandardScaler(),2010,2,10
1884,The Ewok Adventure,StandardScaler(),StandardScaler(),StandardScaler(),1984,12,21
1257,Because I Said So,StandardScaler(),StandardScaler(),StandardScaler(),2007,2,2
318,The Million Dollar Hotel,StandardScaler(),StandardScaler(),StandardScaler(),2000,2,9
152259,Phantom,StandardScaler(),StandardScaler(),StandardScaler(),2013,1,3
383785,Kung Fu Yoga,StandardScaler(),StandardScaler(),StandardScaler(),2017,1,27
133698,A Perfect Plan,StandardScaler(),StandardScaler(),StandardScaler(),2012,10,29
13067,In the Land of Women,StandardScaler(),StandardScaler(),StandardScaler(),2007,4,20
6723,The Rookie,StandardScaler(),StandardScaler(),StandardScaler(),1990,12,7
334536,The Blackcoat's Daughter,StandardScaler(),StandardScaler(),StandardScaler(),2017,3,31
34803,Death at a Funeral,StandardScaler(),StandardScaler(),StandardScaler(),2010,4,15
340945,USS Indianapolis: Men of Courage,StandardScaler(),StandardScaler(),StandardScaler(),2016,9,22
11630,3 Men and a Little Lady,StandardScaler(),StandardScaler(),StandardScaler(),1990,11,21
5,Four Rooms,StandardScaler(),StandardScaler(),StandardScaler(),1995,12,9
23172,The Spy Next Door,StandardScaler(),StandardScaler(),StandardScaler(),2010,1,15
10131,A Nightmare on Elm Street 4: The Dream Master,StandardScaler(),StandardScaler(),StandardScaler(),1988,8,19
9312,Mortal Kombat,StandardScaler(),StandardScaler(),StandardScaler(),1995,8,18
208763,Forbidden Empire,StandardScaler(),StandardScaler(),StandardScaler(),2014,1,30
54540,Beverly Hills Chihuahua 2,StandardScaler(),StandardScaler(),StandardScaler(),2011,2,1
27583,Greenberg,StandardScaler(),StandardScaler(),StandardScaler(),2010,3,26
11851,The Presidio,StandardScaler(),StandardScaler(),StandardScaler(),1988,6,10
503,Poseidon,StandardScaler(),StandardScaler(),StandardScaler(),2006,5,3
413992,Sweet Virginia,StandardScaler(),StandardScaler(),StandardScaler(),2017,11,17
9099,Sgt. Bilko,StandardScaler(),StandardScaler(),StandardScaler(),1996,3,29
2144,One Night at McCool's,StandardScaler(),StandardScaler(),StandardScaler(),2001,4,19
570132,Battle of the Classes,StandardScaler(),StandardScaler(),StandardScaler(),2019,4,3
390584,King Cobra,StandardScaler(),StandardScaler(),StandardScaler(),2016,10,21
262543,Automata,StandardScaler(),StandardScaler(),StandardScaler(),2014,10,9
8398,The Hitcher,StandardScaler(),StandardScaler(),StandardScaler(),2007,1,19
1450,Blood: The Last Vampire,StandardScaler(),StandardScaler(),StandardScaler(),2009,4,2
333674,Intruders,StandardScaler(),StandardScaler(),StandardScaler(),2015,6,12
37707,Splice,StandardScaler(),StandardScaler(),StandardScaler(),2010,6,3
4942,Leatherheads,StandardScaler(),StandardScaler(),StandardScaler(),2008,3,24
679989,Simply Black,StandardScaler(),StandardScaler(),StandardScaler(),2020,7,8
650783,The Comeback Trail,StandardScaler(),StandardScaler(),StandardScaler(),2020,11,12
462148,Love Addict,StandardScaler(),StandardScaler(),StandardScaler(),2018,4,18
52077,Nothing to Declare,StandardScaler(),StandardScaler(),StandardScaler(),2010,12,20
38961,Tamara Drewe,StandardScaler(),StandardScaler(),StandardScaler(),2010,7,14
